Date,1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,12M,13M,14M,15M,16M,17M,18M,19M,20M,21M,22M,23M,24M,25M,26M,27M,28M,29M,30M,31M,32M,33M,34M,35M,36M,37M,38M,39M,40M,41M,42M,43M,44M,45M,46M,47M,48M,49M,50M,51M,52M,53M,54M,55M,56M,57M,58M,59M,60M
01/02/2016,0.462206269,0.460263348,0.456844473,0.452712675,0.448249496,0.443626052,0.438925743,0.434370187,0.430352163,0.427289152,0.425529056,0.425305534,0.426632547,0.429365909,0.433347036,0.438417122,0.44441721,0.451188227,0.458572835,0.466433095,0.474662476,0.483180091,0.491925127,0.500852656,0.509930278,0.519133528,0.528442163,0.537839182,0.547310275,0.556843369,0.56642827,0.576056367,0.585720397,0.59541424,0.605132762,0.614871672,0.6246274,0.634396805,0.64417693,0.653964955,0.663758185,0.673554032,0.68335,0.693143682,0.702932744,0.712714918,0.722487996,0.732249826,0.7419983,0.751731349,0.761446931,0.771143023,0.780817627,0.790468761,0.800094459,0.809692773,0.819261767,0.82879952,0.83830412,0.847773669
02/02/2016,0.462089037,0.460759625,0.457769725,0.453266731,0.447628805,0.441449071,0.435285303,0.429548377,0.424565867,0.420586034,0.417754345,0.416131299,0.415692854,0.416366986,0.418069487,0.420709737,0.424192598,0.428419665,0.433291044,0.438714902,0.444613973,0.450922944,0.457585856,0.464554159,0.471785312,0.479242639,0.486895285,0.49471728,0.502686692,0.510784958,0.51899634,0.527307482,0.53570705,0.544185433,0.552734503,0.561347399,0.57001835,0.578742305,0.587514579,0.596330773,0.60518674,0.614078557,0.623002495,0.631955,0.640932674,0.649932255,0.658950606,0.667984699,0.677031603,0.686088453,0.695152413,0.704220674,0.713290448,0.722358968,0.731423488,0.740481276,0.749529618,0.758565813,0.767587173,0.776591024
03/02/2016,0.457120161,0.455002368,0.45174421,0.447099664,0.441360585,0.435026038,0.42851081,0.422180836,0.416379173,0.411390062,0.407406467,0.404539245,0.402809503,0.402170278,0.40255165,0.403870316,0.406033521,0.40894169,0.41249136,0.41658757,0.421152314,0.426121558,0.431442203,0.437069804,0.442966865,0.449101824,0.455448337,0.461984396,0.468691576,0.475554442,0.482560063,0.489697625,0.496958105,0.504334014,0.511819173,0.519408531,0.527097989,0.534883934,0.54276279,0.550730975,0.558784902,0.566920976,0.575135602,0.583425175,0.591786092,0.600214743,0.608707516,0.617260797,0.625870968,0.634534388,0.643247377,0.652006217,0.660807157,0.669646411,0.67852017,0.687424595,0.696355826,0.70530998,0.714283155,0.723271433
04/02/2016,0.463709722,0.462110937,0.458727063,0.453892182,0.447979383,0.441308229,0.434348643,0.427641157,0.421648877,0.416681257,0.412874933,0.410233759,0.408693102,0.408170698,0.408582619,0.409844734,0.411872765,0.41458233,0.417889728,0.421719305,0.426008473,0.430705305,0.435766225,0.441154263,0.446837758,0.452789597,0.458986668,0.465409174,0.472040065,0.478864576,0.485869864,0.493044699,0.50037923,0.507864775,0.515493654,0.523259056,0.531154896,0.539175501,0.547315326,0.555568916,0.563930893,0.572395947,0.580958831,0.58961435,0.598357358,0.607182751,0.616085464,0.625060465,0.634102755,0.643207376,0.65236942,0.661584024,0.670846372,0.680151683,0.689495212,0.698872245,0.708278099,0.717708116,0.727157664,0.73662213
05/02/2016,0.462797416,0.461254323,0.45841186,0.454596541,0.450046681,0.444910755,0.439373971,0.433786077,0.428567926,0.424060993,0.420461072,0.417824738,0.416126368,0.415307615,0.415304868,0.416052557,0.417483726,0.41953042,0.422124487,0.425204147,0.428719393,0.432630002,0.436903411,0.441513121,0.446437426,0.451657807,0.45715764,0.462921785,0.468936335,0.475188405,0.481665973,0.488357742,0.495253028,0.502341675,0.509613976,0.517060613,0.5246726,0.532441263,0.540358205,0.548415279,0.556604555,0.564918295,0.573348929,0.581889039,0.590531339,0.599268663,0.60809395,0.617000236,0.625980648,0.635028491,0.644137323,0.653300941,0.66251336,0.671768793,0.68106163,0.690386424,0.699737878,0.709110832,0.718500247,0.7279012
08/02/2016,0.46294309,0.462157528,0.460562662,0.457668492,0.453352986,0.447858816,0.44163014,0.435149799,0.42882718,0.422947772,0.417687736,0.41315064,0.409357836,0.40627557,0.403858195,0.402054484,0.400809265,0.400064521,0.399761018,0.399847386,0.400286311,0.401052008,0.402127716,0.403503815,0.405176213,0.407143092,0.409402227,0.411950838,0.414785688,0.417903156,0.421299302,0.424969915,0.428910554,0.433116585,0.437583202,0.442305459,0.447278259,0.452496102,0.457952847,0.463641765,0.469555611,0.475686685,0.482026884,0.488567748,0.495300501,0.502216085,0.50930519,0.516558277,0.523965622,0.531517531,0.539204588,0.547017655,0.554947849,0.562986514,0.571125205,0.579355665,0.587669811,0.596059719,0.604517609,0.613035834
09/02/2016,0.463007961,0.460748247,0.456399642,0.450120002,0.442332232,0.433586677,0.424413976,0.415303145,0.406645325,0.398680603,0.39152673,0.38522543,0.379764441,0.375106156,0.371204175,0.368006792,0.365458557,0.363501314,0.362075691,0.361129146,0.360621456,0.360522503,0.360810079,0.361468237,0.362485914,0.363854514,0.365565927,0.367612294,0.369985963,0.372679458,0.375685446,0.378996718,0.382606167,0.386506778,0.39069161,0.395153787,0.399886476,0.404882655,0.410134867,0.415635243,0.421375553,0.427347249,0.433541499,0.439949223,0.446561119,0.453367688,0.460359252,0.467525978,0.474857902,0.482345138,0.48997808,0.497747402,0.50564403,0.513659119,0.521784032,0.530010323,0.538329715,0.546734094,0.555215488,0.563766056
10/02/2016,0.464619589,0.462672961,0.458989051,0.45441503,0.448937811,0.44265696,0.435841775,0.428855406,0.422064157,0.415773025,0.410199536,0.405483212,0.401645774,0.398619662,0.396330342,0.39470401,0.393667378,0.393147532,0.393072812,0.393382284,0.39403217,0.394992694,0.396245038,0.39777906,0.399591378,0.401681522,0.404048354,0.406689831,0.409603164,0.41278494,0.416231227,0.419937648,0.423899456,0.428111582,0.432568686,0.437265191,0.44219531,0.447352963,0.452731702,0.458324738,0.464124988,0.470125104,0.476317509,0.482694422,0.489247877,0.495969749,0.502851765,0.509885524,0.517062521,0.524374306,0.531812641,0.53936949,0.547037007,0.55480751,0.562673472,0.570627506,0.578662351,0.586770864,0.594946005,0.603180836
11/02/2016,0.462894899,0.456273931,0.446235358,0.433713189,0.419705476,0.40534292,0.391440243,0.378441048,0.36655679,0.355860903,0.346351656,0.337996742,0.330739422,0.324507372,0.319228692,0.314833097,0.311251444,0.308415412,0.306257739,0.304716446,0.303737707,0.303274336,0.303284346,0.303729862,0.304576399,0.305793457,0.307355173,0.30923964,0.311428223,0.313905016,0.316656398,0.319670681,0.322937815,0.326449145,0.330197215,0.334175599,0.338378731,0.342801407,0.347438338,0.352284122,0.357333255,0.362580145,0.368019124,0.373644454,0.379450335,0.385430913,0.391580285,0.397892505,0.404361581,0.410981444,0.417745905,0.424648665,0.431683322,0.438843385,0.446122281,0.453513359,0.461009901,0.468605125,0.476292192,0.484064209
12/02/2016,0.463317164,0.460955748,0.456810037,0.450998503,0.443746096,0.435456855,0.426609989,0.417675577,0.40906681,0.401126782,0.394122654,0.388244,0.383529937,0.379893194,0.377235643,0.37546021,0.374470565,0.374170917,0.374466664,0.375273682,0.376525999,0.378172685,0.380174579,0.382501844,0.385131991,0.38804724,0.391232387,0.394674213,0.398361149,0.402282994,0.406430701,0.410796194,0.41537222,0.420152227,0.425130269,0.430300916,0.435659167,0.441200172,0.446918974,0.452810501,0.458869578,0.465090944,0.471469255,0.477999102,0.484675011,0.491491452,0.498442847,0.505523573,0.512727968,0.520050349,0.52748502,0.535026283,0.54266843,0.550405749,0.558232525,0.566143035,0.574131554,0.582192353,0.590319698,0.598507855
